1;arms_factory;2616.00;9.70;2701.00;3.97;0
1;arms_factory;2638.00;9.70;2699.00;5.18;0
1;arms_factory;2631.00;9.70;2698.00;3.02;0
1;arms_factory;2634.00;9.70;2698.00;4.57;0
1;arms_factory;2628.00;9.70;2697.00;0.96;0
1;arms_factory;2623.00;9.70;2699.00;3.63;0
1;industrial_complex;2624.00;9.70;2696.00;1.46;0
1;industrial_complex;2619.00;9.70;2698.00;3.02;0
1;industrial_complex;2613.00;9.70;2697.00;5.69;0
1;industrial_complex;2613.00;9.70;2726.00;3.52;0
1;industrial_complex;2636.00;9.70;2695.00;3.63;0
1;industrial_complex;2629.00;9.70;2694.00;1.47;0
1;air_base;2633.00;9.70;2694.00;4.13;0
1;naval_base;2604.00;9.50;2699.00;-0.50;19850
1;naval_base;2610.00;9.50;2695.00;-1.45;19850
1;bunker;2617.00;9.70;2716.00;6.20;0
1;bunker;2620.00;9.70;2718.00;2.58;0
1;bunker;2626.00;9.70;2705.00;5.25;0
1;coastal_bunker;2609.00;9.70;2697.00;-1.45;0
1;coastal_bunker;2606.00;9.50;2701.00;-0.50;0
1;dockyard;2610.00;9.50;2694.00;-1.45;0
1;anti_air_building;2617.00;9.70;2708.00;3.69;0
1;anti_air_building;2620.00;9.70;2710.00;0.43;0
1;anti_air_building;2610.00;9.70;2709.00;1.63;0
1;synthetic_refinery;2611.00;9.70;2705.00;5.76;0
1;fuel_silo;2602.00;9.70;2708.00;1.03;0
1;radar_station;2622.00;9.70;2711.00;3.27;0
1;rocket_site;2612.00;9.70;2706.00;0.08;0
1;nuclear_reactor;2609.00;9.70;2704.00;4.20;0
2;arms_factory;2577.00;9.70;2717.00;3.02;0
2;arms_factory;2569.00;9.70;2756.00;4.57;0
2;arms_factory;2608.00;9.70;2755.00;0.96;0
2;arms_factory;2661.00;9.70;2763.00;3.63;0
2;arms_factory;2653.00;9.70;2690.00;1.46;0
2;arms_factory;2611.00;9.70;2689.00;3.02;0
